Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-February-2023,532.00,535.90,529.80,535.15,533.886476411173522077,119103,1447,63587481.00,106425,89.36,6.10,3.15
10-February-2023,533.30,534.15,530.40,532.15,532.023823117247106451,19267,1411,10250503.00,8165,42.38,3.75,-1.15
9-February-2023,534.00,536.50,530.80,533.30,533.610593755639776213,55410,1591,29567363.00,38568,69.60,5.70,-0.70
8-February-2023,535.95,536.90,529.30,534.05,532.770214194910172459,41691,2743,22211723.00,17736,42.54,7.60,-1.90
7-February-2023,544.85,545.00,533.15,536.00,534.913601165376063789,391290,6967,209306343.00,340985,87.14,11.85,-8.85
6-February-2023,533.90,546.20,530.85,544.85,538.231923041001214158,53535,2950,28814246.00,20085,37.52,15.35,10.95
3-February-2023,560.05,561.45,528.45,533.90,537.190779912804779589,61930,3534,33268225.00,18200,29.39,33.00,-26.15
2-February-2023,557.00,559.75,547.00,553.90,553.367885443063432685,24861,1572,13757279.00,4624,18.60,12.75,-3.10
1-February-2023,558.10,568.45,553.80,561.65,562.752769980794799822,27076,1855,15237094.00,5004,18.48,14.65,3.55
31-January-2023,557.30,559.60,553.55,557.65,557.270140357623533935,10402,736,5796724.00,3077,29.58,6.05,0.35
30-January-2023,562.15,563.30,551.80,557.30,555.503688360768923289,27519,2137,15286906.00,10129,36.81,11.50,-4.85
27-January-2023,561.05,568.55,556.45,562.90,562.053823946763223565,20437,1106,11486694.00,8383,41.02,12.10,1.85
25-January-2023,563.25,567.25,561.00,563.15,562.901006235827664399,14112,924,7943659.00,5276,37.39,6.25,-0.10
24-January-2023,566.00,569.15,561.50,567.05,565.835968992248062015,9675,661,5474463.00,4345,44.91,7.65,1.05
23-January-2023,568.00,568.00,560.50,564.35,564.000823082902739036,21869,1693,12334134.00,14274,65.27,7.50,-3.65
20-January-2023,551.05,568.35,551.05,566.20,563.958875913635218012,23806,1472,13425605.00,7110,29.87,17.30,15.15
19-January-2023,555.90,560.60,552.05,554.80,555.848496796451453918,10145,779,5639083.00,3560,35.09,8.55,-1.10
18-January-2023,554.55,559.70,554.00,557.50,556.396767182830752512,22086,1587,12288579.00,12864,58.24,5.70,2.95
17-January-2023,553.05,559.00,550.50,556.85,555.666421334118397487,40761,2031,22649519.00,25162,61.73,8.50,3.80
16-January-2023,544.15,553.80,542.95,553.10,550.906374886310393297,36283,2372,19988536.00,17887,49.30,10.85,8.95
13-January-2023,548.45,549.65,538.60,544.10,542.687181935457657419,98447,3643,53425925.00,20532,20.86,11.05,-4.35
12-January-2023,549.85,549.85,542.00,545.05,544.622723132969034608,35136,2642,19135864.00,16477,46.89,7.85,-4.80
11-January-2023,554.45,554.45,545.35,548.40,549.191081978524300314,23189,2163,12735192.00,12894,55.60,9.10,-6.05
10-January-2023,550.00,555.00,548.00,554.45,552.450211801205178688,33522,1835,18519236.00,17618,52.56,7.00,4.45
9-January-2023,554.55,554.55,545.75,549.60,548.608040137974286610,159450,4035,87475552.00,90944,57.04,8.80,-4.95
6-January-2023,573.00,573.85,548.55,553.00,560.324975237017121833,282680,5515,158392664.00,47133,16.67,25.30,-20.00
5-January-2023,559.40,574.20,559.40,572.85,568.856271219800226344,40646,2014,23121732.00,12909,31.76,14.80,13.45
4-January-2023,562.50,564.55,557.55,559.35,561.896177356080649575,21922,1150,12317888.00,11648,53.13,7.00,-3.15
3-January-2023,563.60,568.35,557.60,560.75,562.461240729713636117,36946,2063,20780693.00,13236,35.83,10.75,-2.85
2-January-2023,562.95,562.95,558.15,561.75,560.621442495126705653,10260,747,5751976.00,3882,37.84,4.80,-1.20
30-December-2022,563.00,568.10,560.20,561.40,564.442388969722164484,28866,1876,16293194.00,9323,32.30,7.90,-1.60
29-December-2022,567.95,569.70,559.95,561.10,563.443984607565526755,13773,1042,7760314.00,4178,30.33,9.75,-6.85
28-December-2022,576.75,576.75,567.75,568.90,570.451808004117874147,15542,709,8865962.00,2836,18.25,9.00,-7.85
27-December-2022,566.20,577.55,566.20,572.90,570.074753804834377797,13404,699,7641282.00,5546,41.38,11.35,6.70
26-December-2022,558.20,567.00,557.65,565.85,562.953836800277934598,23027,1337,12963138.00,5699,24.75,9.35,7.65
23-December-2022,569.10,575.20,562.80,565.65,568.632046834345186470,32284,1647,18357717.00,13219,40.95,12.40,-3.45
22-December-2022,575.75,582.40,574.55,577.45,577.445531097651056286,33845,2767,19543644.00,21801,64.41,7.85,1.70
