Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-December-2022,880.05,886.45,864.05,876.65,873.141455399061032863,21300,1419,18597913.00,5068,23.79,22.40,-3.40
30-November-2022,865.05,888.80,865.05,881.35,880.097276905891186111,54607,3177,48059472.00,16099,29.48,23.75,16.30
29-November-2022,852.00,879.05,852.00,865.85,869.219513270434705934,22682,1506,19715637.00,3709,16.35,27.05,13.85
28-November-2022,856.40,860.85,852.05,853.60,855.504139011111939741,13409,965,11471455.00,2779,20.72,8.80,-2.80
25-November-2022,862.35,867.70,851.00,858.10,858.486378205128205128,9984,808,8571128.00,3090,30.95,16.70,-4.25
24-November-2022,848.15,867.35,848.15,862.25,860.600452008355305961,29203,2073,25132115.00,6211,21.27,19.20,14.10
23-November-2022,839.05,852.00,839.05,847.80,846.442903397284105736,20693,1444,17515443.00,11709,56.58,12.95,8.75
22-November-2022,835.05,843.00,824.40,842.20,835.720161673799334284,16824,1417,14060156.00,4943,29.38,18.60,7.15
21-November-2022,839.00,846.25,832.90,839.20,840.448976257895883249,18364,1684,15434005.00,8591,46.78,13.35,0.20
18-November-2022,835.05,842.75,822.45,839.40,834.382560986669084973,22054,1910,18401473.00,5755,26.10,20.30,4.35
17-November-2022,846.00,852.70,835.00,838.80,844.470766652033363930,25057,1525,21159904.00,9533,38.05,17.70,-7.20
16-November-2022,848.70,850.75,839.35,846.40,846.315378066713102701,12921,947,10935241.00,3523,27.27,11.40,-2.30
15-November-2022,844.00,850.90,835.00,848.50,843.059191437229995486,62036,1975,52300020.00,13676,22.05,15.90,4.50
14-November-2022,818.00,846.60,818.00,845.10,840.316280059587146201,70485,2560,59229693.00,48134,68.29,28.60,27.10
11-November-2022,822.05,825.00,810.60,818.85,817.230387230268992018,16915,1437,13823452.00,3790,22.41,14.40,-3.20
10-November-2022,814.95,822.15,793.70,819.45,807.649621352278053232,40539,3880,32741308.00,11160,27.53,28.45,4.50
9-November-2022,820.00,833.85,806.15,815.35,816.961787489883223494,51894,3179,42395415.00,10133,19.53,27.70,-4.65
7-November-2022,830.00,838.70,821.30,826.15,829.704972598594627307,29743,2508,24677915.00,9010,30.29,17.40,-3.85
4-November-2022,827.35,832.00,820.00,829.65,825.886728103911182062,13781,1224,11381545.00,2999,21.76,12.00,2.30
3-November-2022,833.35,837.75,826.25,831.75,831.139118102114492006,7756,551,6446315.00,2001,25.80,11.50,-1.60
2-November-2022,838.50,840.35,829.35,833.35,833.642682180036742192,13064,924,10890708.00,3491,26.72,11.00,-5.15
1-November-2022,829.50,839.20,827.70,838.05,833.387983655349846138,39646,2003,33040500.00,28850,72.77,11.50,8.55
31-October-2022,826.95,840.95,826.95,829.20,833.874494903805560581,16581,1187,13826473.00,7792,46.99,14.00,2.25
28-October-2022,837.00,841.00,827.65,829.95,832.465665093398923087,15043,1073,12522781.00,6949,46.19,13.35,-7.05
27-October-2022,824.25,837.75,823.50,834.50,829.627812169711611052,13246,1094,10989250.00,4477,33.80,14.25,10.25
25-October-2022,821.80,822.55,812.80,820.80,820.192916260954235637,345072,1559,283025610.00,334200,96.85,9.75,-1.00
24-October-2022,822.00,826.90,819.00,820.35,821.907559486207622657,4749,541,3903239.00,3041,64.03,7.90,-1.65
21-October-2022,830.00,835.20,818.20,820.25,824.506033182503770739,11934,1172,9839655.00,5661,47.44,17.00,-9.75
20-October-2022,826.65,830.75,815.30,828.10,823.485512920908379013,21709,1596,17877047.00,11473,52.85,15.45,1.45
19-October-2022,833.15,835.95,824.50,826.65,828.243129171574401256,10188,1134,8438141.00,4455,43.73,11.45,-6.50
18-October-2022,833.55,841.45,829.25,833.70,835.955967418250501711,8471,711,7081383.00,2096,24.74,12.20,0.15
17-October-2022,830.50,838.05,824.40,833.55,833.402288996202709315,527218,1042,439384688.00,521137,98.85,13.65,3.05
14-October-2022,845.05,856.00,830.40,833.05,841.322030372373621801,19228,995,16176940.00,9255,48.13,25.60,-12.00
13-October-2022,833.05,850.00,833.05,842.20,844.731514263163829067,44345,3144,37459619.00,22661,51.10,16.95,9.15
12-October-2022,823.50,842.50,821.45,840.15,833.887300147054222333,31961,1456,26651872.00,12340,38.61,21.05,16.65
11-October-2022,837.10,837.10,820.45,824.30,831.914304188274796806,528929,1859,440023601.00,510304,96.48,16.65,-12.80
10-October-2022,828.95,835.85,807.75,832.85,818.238746182863301598,55670,2603,45551351.00,12865,23.11,28.10,3.90
7-October-2022,853.75,855.00,822.55,829.65,834.625832209216309124,91924,6383,76722145.00,34335,37.35,32.45,-24.10
6-October-2022,875.00,875.00,836.75,853.75,849.802174797929871489,120379,6846,102298336.00,33473,27.81,38.25,-21.25
4-October-2022,895.45,906.50,887.70,896.30,897.693540494250061169,8174,841,7337747.00,2936,35.92,18.80,0.85
3-October-2022,901.40,920.50,881.05,884.45,898.624993571612239650,19445,2027,17473763.00,6477,33.31,39.45,-16.95
